Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,NameASCII,PlayerId,MLBAMID
"Tejay Antone","CIN",25,70,86.6044776119403,104.2,110.2,16.98507462686567,7,0.1,24,0.34285714,4.320000880623043,4.677995398097958,"Tejay Antone",16233,622088
"Caleb Thielbar","CHC",21,58,89.80526264926843,106.3,110.7,18.771929824561404,4,0.06896552,23,0.39655172,6.000001481601536,4.797344017118902,"Caleb Thielbar",10078,573204
"Craig Yoho","- - -",25,69,85.55303076541784,102.5,110.8,13.454545454545455,6,0.08695652,21,0.30434783,5.4000008690358605,4.812593088387664,"Craig Yoho",33248,684974
"Evan Phillips","LAD",20,52,91.38076840914212,108.9,114.4,19.096153846153847,9,0.17307692,22,0.42307692,3.150000821426725,4.821718338469597,"Evan Phillips",17734,623465
"Jacob Webb","CHC",24.2,70,87.9573533114265,103.7,110.7,12.897058823529411,5,0.07142857,26,0.37142857,4.013514116422859,4.893917888544684,"Jacob Webb",19274,657097
"Braydon Fisher","TOR",23,61,87.35614013671875,104.2,109.2,17,3,0.04918033,22,0.36065574,3.1304353504867,4.902177377279209,"Braydon Fisher",24609,680755
"Adrian Houser","SFG",22,72,90.2140843566035,104.1,108.7,12.774647887323944,6,0.08333333,35,0.48611111,2.0454546368934934,4.919583020260037,"Adrian Houser",12718,605288
"José A. Ferrer","SEA",24.2,83,88.11481522925106,104.7,116.4,2.1097560975609757,6,0.07228916,33,0.39759036,5.472974707641753,4.9902835668761485,"Jose A. Ferrer",24017,678606
"Antonio Senzatela","- - -",22.1,76,90.96266591389974,106.6,116.6,4.826666666666667,6,0.07894737,32,0.42105263,6.044777899376923,5.06386994050703,"Antonio Senzatela",15488,622608
"Zach Agnos","COL",30,102,89.35400115966797,103.6,109.8,11.396039603960396,9,0.08823529,44,0.43137255,5.400000354051613,5.1244356569815315,"Zach Agnos",31552,688642
